objective,p01rcy,p02rcy,p03rcy,p04rcy,totalspend,totaltrans,p05spend,p05trans,p06rcy,p07rcy,p08rcy,p11rcy,p12rcy,p13rcy,p15rcy,p16spend,p16rcy,p16tenure,p16trans,p17rcy,Spend,Noofproductspurchased,UserBuyFactor,Gender,unempml25,LogMstRcntPurchage,lgTransSpend,LonPar,Mostrecent1,Mostrecent2,Mostrecent3,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Comp.9,Comp.10,Comp.11,Comp.12,Comp.13,Comp.14,Comp.15
1,0,0,1,0,736,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1.0130435,1,1,-0.013129313,3.828641396,0.1999114,3,13,0,-51337.32511,2475.167169,-6624.311104,-7715.451556,-1219.69494,-670.6944477,929.4213947,196.3941332,-1022.46184,-469.2540043,359.0196207,20.44493266,4.869874104,-28.70807632,-1.215773375
0,0,0,0,0,252,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5.529429088,0.1663049,0,0,0,-72140.94544,4800.218451,-3934.152593,-12286.82029,-258.312841,635.2701056,-292.4348997,22.66507932,-527.2218612,-170.6670006,210.9032141,-43.9942123,1.078853536,-30.04139759,0.184197986
0,0,0,1,0,1277,75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1.04329,3,1,-0.044254964,2.834780742,0.1827381,3,15,0,-58823.6715,2914.943733,-10829.21012,-6406.95282,-1475.49061,-963.543869,16.18424692,75.74688354,-357.6150502,-90.9866959,485.2390914,-38.46576786,1.955750463,-30.36125927,5.854998013
0,0,0,1,0,2648,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3,2.0043478,2,1,-0.004357279,4.514264087,0.12,3,17,3,-77254.96278,12349.5568,-4660.126438,-7377.915389,690.4670397,-806.6226034,150.0371976,-300.2380144,-445.466365,-126.7023021,321.1144401,-23.5915606,3.023439829,-17.79117578,5.78706914
0,1,0,0,0,3113,10,0,0,0,0,0,0,0,0,1,0.00524934,0.9515418,0.07734807,0.1,0,3,3,2.0660793,3,0,-0.068363748,5.740757077,0.0909091,15,16,1,-98098.16407,17357.88582,5012.259578,-5732.317606,3794.200954,976.0107828,1114.042722,-504.7929376,-658.1264515,-72.51750554,354.6630316,-9.94833923,-21.12842704,-20.5809013,7.393924084
0,0,0,1,0,2622,66,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1.0649351,2,1,-0.06713934,3.682037922,0.125,3,15,0,-36069.32455,25243.67379,-1159.267493,-5897.699553,-6033.119936,-954.4189298,2048.039279,-4276.910262,-766.3909036,-285.3952428,29.72484066,-71.82358674,-2.782486251,-5.590101584,17.54779259
1,0,0,1,0,4716,61,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3,2.008658,2,1,-0.008695698,4.347842397,0.08125,3,17,3,-45184.89714,31483.06831,-6750.840128,-9813.809279,452.6103723,4.426070267,1408.772559,-2019.390439,-12.51056441,-131.6505323,664.5935975,216.5876565,81.26400254,-12.43472741,5.120757164
0,0,0,1,0,1915,49,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,3,2.04329,1,1,-0.044254964,3.665652604,0.3246754,3,8,15,-35460.63001,24792.67786,-3997.687713,-10239.91982,799.0588648,-137.9050469,502.9603377,404.8726603,-53.06037063,27.72714965,563.0092108,-60.25151956,16.77628693,-40.34032251,-7.506568597
1,0,0,1,0,4836,31,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3,2.0434783,2,0,-0.044451803,5.049856007,0.0106383,3,15,0,-54087.09345,37089.28974,-7467.269676,-2586.943093,3600.534506,-2461.262088,694.2778515,-149.0459057,-145.5284757,-301.4468017,637.9383472,-56.2125074,30.26614082,4.531470568,-8.621248727
1,0,0,0,0,1377,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,5.841368138,0.12,0,0,0,-77254.96278,12349.5568,-4660.126438,-7377.915389,690.4670397,-806.6226034,150.0371976,-300.2380144,-445.466365,-126.7023021,321.1144401,-23.5915606,3.023439829,-17.79117578,5.78706914
0,0,0,1,0,10491,49,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4,4,3.056277,2,1,-0.057922588,5.366452728,0.1663808,15,17,3,-52010.66667,1685.082105,-3813.514177,-8487.035251,-76.42452868,-396.2795647,52.62260312,279.2710688,83.32628433,-288.9764161,268.6672721,-46.81923194,25.89549722,-42.57392417,16.47832989
